ST	dnaA	gltX	gpsA	gyrB	pta2	tdk	tkt	clonal_complex
252	1	22	3	3	2	3	6	
253	31	3	3	3	2	3	6	
254	1	3	3	3	36	3	6	
255	1	3	3	3	2	3	42	
256	32	3	3	3	2	3	6	
257	1	3	26	3	2	3	6	
258	1	3	25	3	2	3	6	
259	33	21	3	3	2	3	6	
260	1	3	3	3	37	3	6	
261	5	24	2	3	5	3	4	
262	1	23	3	3	2	3	6	
263	1	3	27	37	2	3	38	
264	1	3	3	3	2	27	6	
265	34	3	3	5	2	2	3	
266	1	3	1	41	2	3	38	
267	1	3	3	3	2	3	31	
268	1	3	1	3	39	2	3	
269	1	3	3	3	5	3	44	
270	1	3	3	37	2	3	6	
271	35	25	30	43	38	28	43	
272	1	3	29	3	2	3	6	
273	1	21	3	3	2	3	6	
274	35	26	30	43	38	28	43	
275	36	6	31	42	40	5	45	
276	37	14	6	44	41	10	46	
277	1	1	3	3	2	3	31	
278	1	1	1	13	2	2	1	
279	1	1	3	13	2	2	1	
280	1	3	3	5	2	29	6	
281	1	3	1	5	2	1	3	
282	1	1	1	13	2	15	1	
283	38	3	3	3	2	30	6	
284	5	3	3	3	2	3	1	
285	5	1	1	3	2	1	4	
286	39	3	3	3	2	3	3	
287	5	3	2	19	5	3	4	
288	1	3	3	45	2	3	3	
289	1	3	3	3	2	2	6	
290	1	3	3	3	5	3	1	
291	1	3	3	3	33	3	3	
292	5	3	4	3	2	3	47	
293	5	3	3	3	2	3	47	
294	5	3	3	47	2	3	4	
295	4	1	3	46	2	3	1	
296	5	27	2	18	5	3	4	
297	5	3	2	3	5	3	48	
298	5	3	2	3	5	31	48	
299	5	28	32	1	2	3	4	
