ST	atpA	dnaE	dnaK	fusA	leuA	odhA	rpoB	clonal_complex
249	2	3	3	2	18	3	3	
250	32	1	70	19	3	3	18	
251	3	2	4	30	3	3	2	
252	3	4	11	29	3	3	2	
253	8	3	3	2	1	39	29	
254	2	1	71	46	5	16	9	
255	3	3	4	47	3	3	3	
256	1	1	72	4	13	3	30	
257	2	1	35	19	13	24	13	
258	2	4	8	1	7	3	9	
259	3	1	12	1	42	16	31	
260	3	10	6	4	13	3	2	
261	13	4	8	44	3	23	13	
262	3	8	28	16	3	23	2	
263	4	10	3	1	3	23	27	
264	2	4	8	19	3	23	9	
265	30	23	63	25	3	23	28	
266	2	12	4	1	41	23	2	
267	3	2	3	6	41	8	2	
268	22	2	4	29	3	40	2	
269	28	2	38	19	13	3	6	
270	6	7	10	18	16	18	10	
271	37	8	69	30	9	23	19	
272	37	8	69	4	5	23	2	
273	37	8	69	7	9	23	32	
274	3	2	73	4	43	22	2	
275	2	1	72	16	43	23	5	
276	3	1	72	4	43	23	5	
277	2	4	72	1	43	23	5	
278	11	1	53	4	43	23	24	
279	3	1	72	4	43	37	32	
280	3	1	72	4	43	40	32	
281	3	1	72	4	43	23	32	
282	3	1	72	4	43	40	5	
283	2	10	72	4	43	23	2	
284	2	4	72	1	19	40	5	
285	20	30	72	42	29	35	17	
286	20	19	11	42	41	35	17	
287	20	19	11	47	43	37	7	
288	20	6	11	47	43	37	17	
289	20	25	11	11	43	37	17	
290	6	7	10	12	35	13	10	
291	6	7	10	17	9	7	10	
292	2	12	4	1	3	3	2	
293	19	1	64	2	3	16	6	
294	6	7	10	8	9	12	11	
295	2	1	20	19	3	3	14	
296	3	1	6	1	5	3	9	
297	2	12	54	13	3	3	4	
298	2	1	20	6	3	3	6	
299	19	4	4	2	3	3	4	
300	2	2	60	7	8	3	2	
301	2	10	3	1	7	3	2	
302	2	2	9	25	3	3	2	
303	4	1	4	19	3	16	2	
304	2	3	38	1	30	3	13	
305	4	12	4	1	14	3	2	
306	3	11	9	1	3	4	19	
307	11	1	4	19	3	16	13	
308	4	12	4	1	18	3	13	
309	4	12	22	4	14	3	2	
310	3	8	9	1	3	40	2	
311	2	31	4	1	3	3	2	
312	2	1	74	28	13	2	22	
313	40	9	75	1	44	28	2	
314	6	7	21	17	35	7	33	
315	2	12	4	1	3	3	34	
316	3	2	17	48	13	4	35	
317	2	1	76	19	13	24	13	
318	8	2	7	1	3	41	2	
319	38	1	77	4	5	3	9	
320	3	1	9	5	3	4	36	
321	39	2	54	30	3	3	3	
322	30	23	63	25	3	3	37	
323	19	32	9	1	44	2	2	
324	2	2	60	19	3	42	38	
325	41	34	79	49	45	43	39	
326	41	33	78	49	45	43	40	
327	41	34	79	49	46	43	39	
328	41	34	80	49	45	43	40	
329	41	35	80	49	47	44	39	
330	42	34	78	49	48	43	40	
331	42	33	78	49	45	43	40	
332	42	33	78	49	48	43	40	
333	42	36	79	49	49	45	39	
334	43	37	81	50	50	46	41	
335	44	38	82	51	51	43	42	
336	22	1	83	2	3	3	2	
337	41	34	79	49	45	47	39	
338	42	39	79	49	48	43	39	
339	41	35	79	49	52	48	39	
340	3	1	13	16	3	2	9	
341	44	38	82	52	51	49	42	
342	41	34	79	49	45	43	42	
343	44	38	79	49	45	49	39	
344	43	38	82	51	53	43	42	
345	41	40	84	49	54	50	39	
346	41	38	82	51	51	43	42	
347	42	34	80	49	45	43	40	
348	44	33	78	49	48	43	40	
349	42	41	79	49	49	45	39	
350	37	8	69	2	3	23	2	
351	2	12	4	1	3	3	5	
352	28	12	6	19	3	51	6	
353	6	7	10	37	9	12	11	
354	6	7	10	18	16	12	11	
355	2	1	61	19	3	16	2	
356	11	1	85	2	3	3	2	
357	45	33	82	49	48	43	40	
358	45	33	82	49	48	43	39	
359	6	7	10	37	35	13	10	
360	6	7	10	12	16	7	10	
361	4	1	20	19	13	16	9	
362	2	23	32	1	55	5	43	
363	3	1	20	48	3	16	44	
364	41	34	80	49	48	43	39	
365	6	7	10	18	56	12	11	
366	13	2	44	41	29	1	21	
367	28	2	60	30	3	3	3	
368	2	12	54	1	3	3	18	
369	2	2	9	7	8	3	2	
370	6	7	10	8	16	12	11	
371	6	7	10	8	9	7	11	
372	6	7	10	12	16	12	10	
373	3	2	35	1	48	3	2	
374	24	15	86	19	11	3	18	
375	46	10	60	7	3	3	2	
376	47	42	80	49	57	47	19	
377	2	43	87	4	59	3	6	
378	3	8	4	7	3	4	3	
379	1	1	88	1	29	52	4	
380	48	44	88	1	60	1	6	
381	49	4	9	53	3	5	13	
382	50	2	89	6	3	3	2	
383	2	2	90	4	18	53	45	
384	3	1	20	2	13	54	2	
385	45	33	78	55	58	48	39	
386	2	26	4	4	45	3	2	
387	3	3	92	2	3	3	3	
388	2	2	4	1	3	3	46	
389	3	2	4	1	3	3	2	
390	4	10	20	1	3	16	6	
391	3	1	20	4	14	16	9	
392	3	46	3	3	20	3	2	
393	8	3	5	2	1	4	4	
394	6	7	21	37	9	7	10	
395	4	1	20	4	3	16	2	
396	3	2	13	6	3	3	2	
397	13	1	9	1	18	3	47	
398	30	1	93	25	3	3	6	
399	22	9	94	7	3	3	2	
400	38	47	4	19	13	3	48	
401	2	4	3	1	7	55	4	
402	5	4	4	2	3	3	2	
403	19	1	9	56	3	3	13	
404	26	7	10	8	9	12	11	
405	4	12	4	1	18	3	2	
406	2	3	3	2	7	3	3	
407	3	5	3	6	30	3	2	
408	8	2	3	1	18	3	13	
409	6	7	21	12	9	12	11	
410	3	1	38	4	3	3	2	
411	2	2	92	13	8	3	5	
412	2	1	20	19	42	16	31	
413	3	8	9	30	3	4	19	
414	2	26	55	29	30	3	2	
415	22	2	4	16	3	40	2	
416	25	16	35	44	3	3	28	
417	3	9	4	1	3	3	5	
418	30	2	32	19	24	16	9	
419	1	2	9	57	3	3	2	
420	19	1	95	2	3	16	6	
421	2	26	4	4	62	3	2	
422	2	2	38	58	3	3	22	
423	2	1	61	4	5	5	2	
424	2	9	4	59	3	3	2	
425	25	1	6	19	3	16	6	
426	3	4	11	2	3	3	2	
427	3	2	73	4	4	22	4	
428	41	36	82	49	54	50	42	
429	2	8	32	19	11	17	18	
430	2	8	4	1	3	3	6	
431	2	1	60	4	3	3	18	
432	4	11	13	7	3	56	27	
433	13	4	8	44	3	3	13	
434	2	1	20	4	3	3	9	
435	2	8	54	13	3	3	4	
436	3	46	4	1	5	3	2	
437	3	5	6	5	3	25	6	
438	3	8	6	5	3	3	6	
439	3	46	3	6	30	3	2	
440	3	9	3	7	3	3	2	
441	3	1	4	19	13	3	48	
442	3	1	6	19	13	3	36	
443	3	1	20	19	37	3	35	
444	3	8	4	19	13	3	48	
445	3	2	60	30	3	3	2	
446	4	2	4	1	3	3	2	
447	4	46	4	1	3	3	2	
448	4	2	8	2	18	3	2	
449	6	7	10	8	9	13	11	
450	28	2	60	1	3	3	2	
451	3	1	45	1	12	3	9	
452	2	4	70	6	7	16	9	
453	22	3	94	2	3	3	3	
454	3	46	3	3	30	3	2	
455	3	2	4	19	3	16	9	
456	25	1	97	19	3	3	6	
457	8	3	8	2	7	3	3	
458	2	2	90	4	18	53	2	
459	3	4	9	1	3	5	13	
460	3	4	8	1	3	5	13	
461	49	4	8	1	3	5	13	
462	3	4	98	11	3	3	9	
463	4	1	33	28	11	2	3	
464	2	2	9	25	3	3	49	
465	3	4	98	11	3	3	3	
466	2	3	3	1	2	3	13	
467	4	12	87	1	44	3	2	
468	3	2	4	19	59	3	13	
469	4	10	3	1	7	3	13	
470	3	2	99	1	20	3	13	
471	8	2	94	1	3	3	2	
472	2	3	38	1	63	3	27	
473	4	46	4	1	5	3	2	
474	2	2	60	2	3	3	2	
475	3	31	4	1	3	3	2	
476	1	1	4	7	64	3	9	
477	1	48	4	7	3	57	9	
478	9	49	17	4	3	24	4	
479	2	2	96	1	3	3	32	
480	3	50	45	1	65	3	9	
481	2	1	6	1	3	40	14	
482	52	7	10	12	66	7	11	
483	6	52	21	12	9	12	10	
484	4	11	4	19	67	29	9	
485	51	4	4	2	3	3	2	
486	2	51	9	60	8	3	2	
487	2	4	101	7	3	3	32	
488	2	4	100	1	3	3	2	
489	6	7	10	8	9	58	10	
490	2	1	55	25	55	3	2	
491	6	7	21	12	9	13	11	
492	6	7	10	8	35	7	10	
493	28	2	54	30	3	3	3	
494	3	8	94	4	3	4	2	
495	19	11	4	19	3	29	9	
496	4	2	4	19	3	16	2	
497	8	8	3	1	7	3	2	
498	3	4	8	1	18	3	9	
499	19	1	9	1	3	3	13	
500	3	1	94	1	3	3	2	
501	6	7	21	61	9	7	10	
502	30	10	102	4	3	3	35	
503	4	1	102	4	5	5	35	
504	2	1	103	4	5	5	2	
505	22	4	60	62	3	1	4	
506	3	53	32	19	3	4	4	
507	3	1	12	1	68	3	31	
508	2	1	32	19	13	3	50	
509	2	1	20	19	69	3	14	
510	3	3	92	2	3	3	51	
511	4	2	104	30	3	51	2	
512	22	54	104	16	3	2	2	
513	4	4	105	1	3	3	2	
514	41	41	79	49	58	45	39	
515	2	2	90	4	3	53	2	
516	2	1	33	28	11	2	22	
517	13	16	35	44	29	3	28	
518	6	7	21	37	9	12	11	
519	2	2	3	2	3	3	5	
520	3	5	5	2	3	23	20	
521	4	55	5	19	5	59	2	
522	1	1	32	1	70	5	30	
523	6	7	10	63	9	60	10	
524	13	29	108	64	60	1	23	
525	6	7	10	63	9	12	10	
526	28	9	4	64	3	3	2	
527	4	2	109	65	3	51	2	
528	3	1	110	19	20	61	16	
529	25	56	33	19	13	3	6	
530	5	2	70	19	33	3	53	
531	2	12	54	13	3	62	4	
532	2	1	111	1	5	40	2	
533	33	57	112	44	3	1	13	
534	9	1	13	4	3	3	4	
535	3	4	70	1	3	5	13	
536	2	2	2	3	11	64	4	
537	37	25	91	54	61	21	17	
538	37	25	113	66	72	35	17	
539	8	43	69	4	13	3	22	
540	2	43	87	4	2	3	6	
541	2	3	3	1	59	3	13	
542	3	1	4	19	5	3	9	
543	41	34	116	49	45	43	39	
544	18	10	118	67	20	5	54	
545	5	6	7	1	3	65	8	
546	3	2	3	24	74	3	3	
547	4	46	4	31	3	3	2	
548	3	3	4	2	3	3	5	
549	1	2	9	7	73	3	2	
550	2	10	117	13	14	3	3	
551	41	33	78	49	45	44	39	
552	41	36	84	49	54	50	39	
553	2	48	4	1	3	55	18	
554	13	2	44	41	1	3	6	
555	19	59	114	2	3	3	55	
556	2	2	115	1	3	3	2	
557	6	7	10	37	9	7	11	
558	25	2	3	1	3	3	2	
559	3	1	20	2	13	16	2	
560	6	7	10	12	9	12	26	
561	6	7	10	8	71	7	11	
562	8	3	1	1	1	3	2	
563	4	58	17	4	14	5	4	
564	13	1	20	1	3	63	2	
565	42	33	119	49	48	43	40	
566	19	9	4	19	30	26	22	
567	23	3	3	1	2	3	13	
568	3	1	49	19	3	3	6	
569	3	2	4	19	3	3	13	
570	3	3	3	2	41	3	3	
571	42	36	120	68	75	48	39	
572	19	4	49	5	14	11	6	
573	2	3	76	1	25	3	13	
574	2	10	3	1	3	3	2	
575	3	1	4	58	5	3	22	
576	2	10	3	64	7	3	2	
577	41	36	120	69	75	48	56	
578	53	60	121	70	76	66	57	
579	5	2	123	38	43	2	4	
580	4	1	40	71	3	3	4	
581	2	3	122	1	2	3	13	
582	42	33	78	49	45	43	58	
583	41	34	79	72	45	43	39	
584	2	2	124	3	3	2	3	
585	41	61	78	49	45	43	40	
586	2	12	125	1	3	3	2	
587	2	3	97	1	2	3	35	
588	2	3	3	1	2	16	13	
589	2	3	122	1	27	3	27	
590	2	10	3	1	3	57	2	
591	2	3	38	1	3	3	22	
592	2	12	87	4	59	3	2	
593	6	7	10	12	66	12	11	
594	22	8	38	1	3	16	2	
595	3	2	70	1	7	3	2	
596	2	2	126	16	3	3	2	
597	47	34	84	73	47	43	40	
598	41	36	84	74	54	50	39	
599	2	12	4	1	18	3	2	
600	6	7	10	37	16	58	11	
601	4	12	4	1	3	3	2	
602	4	12	2	1	41	3	3	
603	6	7	10	18	9	12	11	
604	3	2	13	16	43	24	2	
605	1	44	9	1	26	69	4	
606	2	26	128	29	3	3	2	
607	1	63	4	25	3	57	2	
608	2	9	129	1	78	3	4	
609	3	1	128	2	3	3	2	
610	6	7	10	8	9	70	10	
611	2	55	6	19	3	3	2	
612	6	7	21	12	9	7	11	
613	44	38	82	51	51	71	42	
614	2	1	3	2	3	3	5	
615	2	1	32	38	13	3	3	
616	41	36	80	49	48	50	39	
617	19	2	9	1	1	3	13	
618	19	2	3	1	18	3	2	
619	2	8	5	1	3	3	5	
620	2	4	101	7	30	3	32	
621	3	4	11	1	3	3	2	
622	3	8	28	16	17	3	2	
623	2	1	35	29	3	3	2	
624	3	64	110	19	20	3	16	
625	2	4	6	19	13	3	6	
626	3	4	8	78	27	72	2	
627	2	4	6	19	79	3	6	
628	55	4	4	1	3	3	5	
629	42	33	130	49	48	43	40	
630	6	7	10	18	9	7	11	
631	22	9	126	1	3	3	6	
632	2	1	33	77	3	2	6	
633	3	4	131	3	7	1	4	
634	3	2	131	4	3	2	4	
635	3	2	123	38	43	2	4	
636	28	2	60	2	3	3	2	
637	5	2	47	3	3	74	9	
638	2	2	13	19	3	4	3	
639	3	2	123	38	43	76	4	
640	3	2	13	4	3	75	3	
641	2	2	132	3	3	2	3	
642	3	2	124	71	80	2	4	
643	2	4	17	4	81	5	2	
644	6	7	10	79	82	12	10	
645	3	2	13	1	3	75	4	
646	8	2	9	1	7	3	13	
647	3	1	110	19	20	3	60	
648	37	25	91	54	83	21	17	
649	3	4	133	3	7	1	4	
650	3	2	36	80	38	3	3	
651	3	1	13	16	38	73	9	
652	3	1	107	19	13	3	48	
653	3	2	131	71	7	2	4	
654	3	1	45	1	5	3	9	
655	33	2	4	1	3	3	2	
656	1	9	46	19	3	3	22	
657	2	3	38	64	7	3	2	
658	2	3	92	2	3	3	3	
659	6	7	134	63	9	7	10	
660	6	7	135	8	9	77	10	
661	4	1	136	5	11	1	6	
662	2	4	137	81	13	3	6	
663	6	7	10	12	84	13	15	
664	4	9	4	64	30	57	2	
665	19	8	11	9	3	3	5	
666	7	8	12	10	10	6	4	
667	2	1	9	19	3	17	2	
668	2	10	69	4	5	11	2	
669	18	10	27	21	20	5	16	
670	52	7	10	12	9	7	10	
671	1	1	1	1	1	78	1	
672	22	4	138	1	18	3	4	
673	2	8	63	30	85	3	19	
674	4	4	96	7	86	57	32	
675	19	32	38	82	44	2	20	
676	1	48	139	7	3	57	9	
677	3	65	13	38	14	33	4	
678	42	41	140	49	49	45	39	
679	3	2	13	4	3	2	3	
680	5	4	4	2	3	57	2	
681	3	2	47	3	3	3	9	
682	4	10	101	4	3	3	2	
683	3	1	9	1	3	5	13	
684	2	8	8	30	3	3	19	
685	24	9	4	2	11	3	2	
686	6	7	10	8	9	79	10	
687	1	16	32	1	87	1	4	
688	2	1	6	16	62	3	2	
689	56	7	10	37	9	12	10	
690	41	34	79	84	88	48	61	
691	6	7	10	12	35	7	11	
692	28	10	141	19	5	80	18	
693	2	10	20	85	20	5	4	
694	37	25	91	66	72	35	17	
695	3	66	4	19	13	3	48	
696	42	35	78	84	88	48	62	
697	3	2	13	38	14	33	9	
698	3	10	3	1	3	3	2	
699	42	35	79	84	88	48	62	
700	42	33	142	49	45	43	40	
701	41	33	78	49	45	44	63	
702	43	37	143	86	89	81	41	
703	1	1	87	5	11	2	6	
704	4	9	4	82	30	57	2	
705	18	10	30	21	20	5	16	
706	4	2	144	1	1	3	9	
707	2	12	4	16	3	3	2	
708	2	9	4	29	3	3	2	
709	53	60	121	70	76	82	57	
710	57	67	84	49	75	43	39	
711	42	41	145	49	49	83	39	
712	44	68	146	51	51	84	64	
713	37	25	110	39	83	35	17	
714	37	25	148	39	36	35	17	
715	6	7	147	18	9	13	10	
716	2	9	6	29	90	3	2	
717	2	8	149	1	3	3	13	
718	6	7	10	87	9	70	10	
719	43	69	143	76	91	85	41	
720	42	33	79	49	92	43	39	
721	6	7	62	37	9	7	10	
722	6	7	10	37	16	12	11	
723	4	9	3	19	30	57	9	
724	3	1	20	7	13	54	2	
725	2	9	96	2	3	3	4	
726	19	12	4	1	18	3	4	
727	2	2	13	1	3	3	13	
728	2	9	4	1	3	3	5	
729	49	4	8	53	3	5	13	
730	13	2	46	19	60	26	13	
731	2	1	35	4	37	3	9	
732	25	16	35	46	2	3	4	
733	13	1	20	1	3	5	2	
734	9	44	88	1	60	1	6	
735	3	1	3	1	3	5	13	
736	1	1	33	1	13	3	6	
737	25	1	33	28	11	3	22	
738	1	2	66	88	93	5	21	
739	3	1	150	19	13	3	48	
740	58	5	6	5	3	3	6	
741	2	4	4	1	94	3	5	
742	3	1	18	4	13	87	5	
743	4	10	151	1	3	16	6	
744	13	29	108	64	60	1	65	
745	19	1	9	1	18	88	13	
746	60	9	1	1	13	3	2	
747	13	2	44	1	95	1	13	
748	13	2	32	33	93	1	21	
749	1	1	88	44	97	89	13	
750	3	1	152	4	13	3	5	
751	6	7	10	12	9	58	11	
752	6	7	10	37	9	13	11	
753	6	7	10	12	84	12	10	
754	6	7	21	18	35	7	33	
755	6	7	51	12	35	13	10	
756	6	7	65	12	9	13	10	
757	41	33	78	49	45	93	40	
758	22	2	4	1	3	40	2	
759	13	1	154	4	14	11	2	
760	41	36	82	49	57	50	42	
761	6	7	10	37	9	7	10	
762	37	25	91	39	36	35	17	
763	6	70	10	63	9	12	10	
764	4	1	123	38	3	3	4	
765	61	1	110	19	5	3	16	
766	42	33	78	49	48	43	39	
767	6	7	10	8	99	12	10	
768	3	1	27	19	20	61	16	
769	3	2	131	71	80	2	4	
770	22	1	4	29	3	40	2	
771	2	12	4	29	3	16	2	
772	62	32	92	82	44	2	20	
773	41	34	79	49	88	43	39	
774	2	2	47	19	13	3	6	
775	4	1	40	4	3	3	3	
776	43	37	155	50	100	94	41	
777	63	7	21	37	9	7	10	
778	11	71	85	2	3	3	69	
779	3	1	20	19	83	16	31	
780	37	25	91	66	83	35	17	
781	41	36	80	49	47	50	62	
782	41	34	79	90	45	43	39	
783	64	9	43	7	3	3	2	
784	6	7	21	37	9	7	15	
785	4	10	102	4	5	5	19	
786	6	7	10	37	9	13	10	
787	41	33	78	49	47	43	39	
788	6	7	10	37	16	13	10	
789	21	7	10	37	9	12	11	
790	6	7	10	12	35	12	11	
791	6	7	51	12	9	7	15	
792	37	25	91	39	36	61	17	
793	3	9	4	13	30	4	2	
794	2	1	9	19	96	16	9	
795	65	60	121	70	76	66	57	
796	3	2	131	4	41	2	4	
797	48	2	60	65	3	17	2	
798	3	2	13	38	14	4	3	
799	66	7	21	12	101	7	70	
800	2	2	42	57	11	3	4	
801	2	8	63	30	3	3	19	
802	22	4	94	62	30	95	4	
803	25	1	45	45	11	3	3	
804	18	10	27	19	20	5	16	
805	41	34	79	49	45	43	71	
806	6	7	10	8	102	12	10	
807	3	2	131	16	103	2	4	
808	19	9	94	25	44	3	72	
809	8	1	20	19	3	3	9	
810	37	25	53	39	36	35	54	
811	41	36	79	69	75	48	39	
812	3	1	110	19	20	3	16	
813	22	54	94	1	104	2	2	
814	67	1	20	1	3	16	6	
815	42	33	156	49	92	43	39	
816	37	25	91	54	36	35	17	
